,file1,file2,score,type,ind,D_open,D_ext
0,./sequences/prot-0004.fa,./sequences/prot-0008.fa,179,pos,0,-1,-1
1,./sequences/prot-0031.fa,./sequences/prot-0034.fa,162,pos,1,-1,-1
2,./sequences/prot-0047.fa,./sequences/prot-0050.fa,171,pos,2,-1,-1
3,./sequences/prot-0065.fa,./sequences/prot-0069.fa,146,pos,3,-1,-1
4,./sequences/prot-0077.fa,./sequences/prot-0082.fa,227,pos,4,-1,-1
5,./sequences/prot-0098.fa,./sequences/prot-0102.fa,69,pos,5,-1,-1
6,./sequences/prot-0124.fa,./sequences/prot-0125.fa,446,pos,6,-1,-1
7,./sequences/prot-0166.fa,./sequences/prot-0177.fa,121,pos,7,-1,-1
8,./sequences/prot-0170.fa,./sequences/prot-0173.fa,143,pos,8,-1,-1
9,./sequences/prot-0175.fa,./sequences/prot-0178.fa,118,pos,9,-1,-1
10,./sequences/prot-0187.fa,./sequences/prot-0190.fa,150,pos,10,-1,-1
11,./sequences/prot-0240.fa,./sequences/prot-0242.fa,151,pos,11,-1,-1
12,./sequences/prot-0271.fa,./sequences/prot-0275.fa,309,pos,12,-1,-1
13,./sequences/prot-0298.fa,./sequences/prot-0300.fa,209,pos,13,-1,-1
14,./sequences/prot-0326.fa,./sequences/prot-0327.fa,176,pos,14,-1,-1
15,./sequences/prot-0354.fa,./sequences/prot-0355.fa,237,pos,15,-1,-1
16,./sequences/prot-0357.fa,./sequences/prot-0360.fa,200,pos,16,-1,-1
17,./sequences/prot-0361.fa,./sequences/prot-0364.fa,497,pos,17,-1,-1
18,./sequences/prot-0369.fa,./sequences/prot-0370.fa,343,pos,18,-1,-1
19,./sequences/prot-0380.fa,./sequences/prot-0384.fa,470,pos,19,-1,-1
20,./sequences/prot-0384.fa,./sequences/prot-0392.fa,439,pos,20,-1,-1
21,./sequences/prot-0410.fa,./sequences/prot-0412.fa,309,pos,21,-1,-1
22,./sequences/prot-0459.fa,./sequences/prot-0461.fa,272,pos,22,-1,-1
23,./sequences/prot-0465.fa,./sequences/prot-0466.fa,260,pos,23,-1,-1
24,./sequences/prot-0484.fa,./sequences/prot-0485.fa,146,pos,24,-1,-1
25,./sequences/prot-0507.fa,./sequences/prot-0509.fa,233,pos,25,-1,-1
26,./sequences/prot-0533.fa,./sequences/prot-0534.fa,403,pos,26,-1,-1
27,./sequences/prot-0570.fa,./sequences/prot-0572.fa,293,pos,27,-1,-1
28,./sequences/prot-0580.fa,./sequences/prot-0615.fa,220,pos,28,-1,-1
29,./sequences/prot-0582.fa,./sequences/prot-0586.fa,214,pos,29,-1,-1
30,./sequences/prot-0583.fa,./sequences/prot-0598.fa,234,pos,30,-1,-1
31,./sequences/prot-0584.fa,./sequences/prot-0611.fa,244,pos,31,-1,-1
32,./sequences/prot-0586.fa,./sequences/prot-0590.fa,217,pos,32,-1,-1
33,./sequences/prot-0587.fa,./sequences/prot-0606.fa,297,pos,33,-1,-1
34,./sequences/prot-0589.fa,./sequences/prot-0591.fa,347,pos,34,-1,-1
35,./sequences/prot-0590.fa,./sequences/prot-0610.fa,188,pos,35,-1,-1
36,./sequences/prot-0592.fa,./sequences/prot-0601.fa,376,pos,36,-1,-1
37,./sequences/prot-0594.fa,./sequences/prot-0596.fa,232,pos,37,-1,-1
38,./sequences/prot-0595.fa,./sequences/prot-0620.fa,239,pos,38,-1,-1
39,./sequences/prot-0597.fa,./sequences/prot-0621.fa,177,pos,39,-1,-1
40,./sequences/prot-0600.fa,./sequences/prot-0605.fa,166,pos,40,-1,-1
41,./sequences/prot-0602.fa,./sequences/prot-0616.fa,154,pos,41,-1,-1
42,./sequences/prot-0605.fa,./sequences/prot-0615.fa,155,pos,42,-1,-1
43,./sequences/prot-0609.fa,./sequences/prot-0611.fa,289,pos,43,-1,-1
44,./sequences/prot-0614.fa,./sequences/prot-0616.fa,236,pos,44,-1,-1
45,./sequences/prot-0659.fa,./sequences/prot-0661.fa,186,pos,45,-1,-1
46,./sequences/prot-0735.fa,./sequences/prot-0736.fa,446,pos,46,-1,-1
47,./sequences/prot-0776.fa,./sequences/prot-0779.fa,352,pos,47,-1,-1
48,./sequences/prot-0829.fa,./sequences/prot-0832.fa,100,pos,48,-1,-1
49,./sequences/prot-0860.fa,./sequences/prot-0862.fa,86,pos,49,-1,-1
50,./sequences/prot-0018.fa,./sequences/prot-0198.fa,123,neg,50,-1,-1
51,./sequences/prot-0035.fa,./sequences/prot-0071.fa,97,neg,51,-1,-1
52,./sequences/prot-0056.fa,./sequences/prot-0826.fa,62,neg,52,-1,-1
53,./sequences/prot-0075.fa,./sequences/prot-0561.fa,254,neg,53,-1,-1
54,./sequences/prot-0093.fa,./sequences/prot-0091.fa,95,neg,54,-1,-1
55,./sequences/prot-0110.fa,./sequences/prot-0613.fa,132,neg,55,-1,-1
56,./sequences/prot-0131.fa,./sequences/prot-0547.fa,232,neg,56,-1,-1
57,./sequences/prot-0148.fa,./sequences/prot-0369.fa,48,neg,57,-1,-1
58,./sequences/prot-0166.fa,./sequences/prot-0839.fa,110,neg,58,-1,-1
59,./sequences/prot-0186.fa,./sequences/prot-0014.fa,61,neg,59,-1,-1
60,./sequences/prot-0206.fa,./sequences/prot-0313.fa,250,neg,60,-1,-1
61,./sequences/prot-0228.fa,./sequences/prot-0121.fa,68,neg,61,-1,-1
62,./sequences/prot-0244.fa,./sequences/prot-0817.fa,137,neg,62,-1,-1
63,./sequences/prot-0262.fa,./sequences/prot-0540.fa,259,neg,63,-1,-1
64,./sequences/prot-0286.fa,./sequences/prot-0641.fa,152,neg,64,-1,-1
65,./sequences/prot-0305.fa,./sequences/prot-0785.fa,171,neg,65,-1,-1
66,./sequences/prot-0326.fa,./sequences/prot-0712.fa,124,neg,66,-1,-1
67,./sequences/prot-0346.fa,./sequences/prot-0063.fa,86,neg,67,-1,-1
68,./sequences/prot-0363.fa,./sequences/prot-0345.fa,51,neg,68,-1,-1
69,./sequences/prot-0380.fa,./sequences/prot-0553.fa,302,neg,69,-1,-1
70,./sequences/prot-0397.fa,./sequences/prot-0470.fa,337,neg,70,-1,-1
71,./sequences/prot-0414.fa,./sequences/prot-0903.fa,114,neg,71,-1,-1
72,./sequences/prot-0431.fa,./sequences/prot-0093.fa,112,neg,72,-1,-1
73,./sequences/prot-0446.fa,./sequences/prot-0424.fa,267,neg,73,-1,-1
74,./sequences/prot-0469.fa,./sequences/prot-0609.fa,289,neg,74,-1,-1
75,./sequences/prot-0486.fa,./sequences/prot-0314.fa,113,neg,75,-1,-1
76,./sequences/prot-0503.fa,./sequences/prot-0454.fa,198,neg,76,-1,-1
77,./sequences/prot-0520.fa,./sequences/prot-0088.fa,212,neg,77,-1,-1
78,./sequences/prot-0536.fa,./sequences/prot-0452.fa,320,neg,78,-1,-1
79,./sequences/prot-0552.fa,./sequences/prot-0460.fa,140,neg,79,-1,-1
80,./sequences/prot-0571.fa,./sequences/prot-0711.fa,360,neg,80,-1,-1
81,./sequences/prot-0595.fa,./sequences/prot-0503.fa,224,neg,81,-1,-1
82,./sequences/prot-0616.fa,./sequences/prot-0819.fa,175,neg,82,-1,-1
83,./sequences/prot-0631.fa,./sequences/prot-0386.fa,153,neg,83,-1,-1
84,./sequences/prot-0648.fa,./sequences/prot-0022.fa,99,neg,84,-1,-1
85,./sequences/prot-0665.fa,./sequences/prot-0100.fa,110,neg,85,-1,-1
86,./sequences/prot-0682.fa,./sequences/prot-0873.fa,66,neg,86,-1,-1
87,./sequences/prot-0699.fa,./sequences/prot-0760.fa,171,neg,87,-1,-1
88,./sequences/prot-0716.fa,./sequences/prot-0710.fa,132,neg,88,-1,-1
89,./sequences/prot-0734.fa,./sequences/prot-0108.fa,90,neg,89,-1,-1
90,./sequences/prot-0750.fa,./sequences/prot-0875.fa,57,neg,90,-1,-1
91,./sequences/prot-0772.fa,./sequences/prot-0886.fa,72,neg,91,-1,-1
92,./sequences/prot-0791.fa,./sequences/prot-0245.fa,220,neg,92,-1,-1
93,./sequences/prot-0805.fa,./sequences/prot-0261.fa,200,neg,93,-1,-1
94,./sequences/prot-0821.fa,./sequences/prot-0591.fa,321,neg,94,-1,-1
95,./sequences/prot-0843.fa,./sequences/prot-0026.fa,90,neg,95,-1,-1
96,./sequences/prot-0860.fa,./sequences/prot-0510.fa,91,neg,96,-1,-1
97,./sequences/prot-0878.fa,./sequences/prot-0524.fa,37,neg,97,-1,-1
98,./sequences/prot-0900.fa,./sequences/prot-0264.fa,60,neg,98,-1,-1
99,./sequences/prot-0915.fa,./sequences/prot-0407.fa,138,neg,99,-1,-1
100,./sequences/prot-0004.fa,./sequences/prot-0008.fa,179,pos,0,-1,-2
101,./sequences/prot-0031.fa,./sequences/prot-0034.fa,162,pos,1,-1,-2
102,./sequences/prot-0047.fa,./sequences/prot-0050.fa,171,pos,2,-1,-2
103,./sequences/prot-0065.fa,./sequences/prot-0069.fa,146,pos,3,-1,-2
104,./sequences/prot-0077.fa,./sequences/prot-0082.fa,227,pos,4,-1,-2
105,./sequences/prot-0098.fa,./sequences/prot-0102.fa,69,pos,5,-1,-2
106,./sequences/prot-0124.fa,./sequences/prot-0125.fa,446,pos,6,-1,-2
107,./sequences/prot-0166.fa,./sequences/prot-0177.fa,121,pos,7,-1,-2
108,./sequences/prot-0170.fa,./sequences/prot-0173.fa,143,pos,8,-1,-2
109,./sequences/prot-0175.fa,./sequences/prot-0178.fa,118,pos,9,-1,-2
110,./sequences/prot-0187.fa,./sequences/prot-0190.fa,150,pos,10,-1,-2
111,./sequences/prot-0240.fa,./sequences/prot-0242.fa,151,pos,11,-1,-2
112,./sequences/prot-0271.fa,./sequences/prot-0275.fa,309,pos,12,-1,-2
113,./sequences/prot-0298.fa,./sequences/prot-0300.fa,209,pos,13,-1,-2
114,./sequences/prot-0326.fa,./sequences/prot-0327.fa,176,pos,14,-1,-2
115,./sequences/prot-0354.fa,./sequences/prot-0355.fa,237,pos,15,-1,-2
116,./sequences/prot-0357.fa,./sequences/prot-0360.fa,200,pos,16,-1,-2
117,./sequences/prot-0361.fa,./sequences/prot-0364.fa,497,pos,17,-1,-2
118,./sequences/prot-0369.fa,./sequences/prot-0370.fa,343,pos,18,-1,-2
119,./sequences/prot-0380.fa,./sequences/prot-0384.fa,470,pos,19,-1,-2
120,./sequences/prot-0384.fa,./sequences/prot-0392.fa,439,pos,20,-1,-2
121,./sequences/prot-0410.fa,./sequences/prot-0412.fa,309,pos,21,-1,-2
122,./sequences/prot-0459.fa,./sequences/prot-0461.fa,272,pos,22,-1,-2
123,./sequences/prot-0465.fa,./sequences/prot-0466.fa,260,pos,23,-1,-2
124,./sequences/prot-0484.fa,./sequences/prot-0485.fa,146,pos,24,-1,-2
125,./sequences/prot-0507.fa,./sequences/prot-0509.fa,233,pos,25,-1,-2
126,./sequences/prot-0533.fa,./sequences/prot-0534.fa,403,pos,26,-1,-2
127,./sequences/prot-0570.fa,./sequences/prot-0572.fa,293,pos,27,-1,-2
128,./sequences/prot-0580.fa,./sequences/prot-0615.fa,220,pos,28,-1,-2
129,./sequences/prot-0582.fa,./sequences/prot-0586.fa,214,pos,29,-1,-2
130,./sequences/prot-0583.fa,./sequences/prot-0598.fa,234,pos,30,-1,-2
131,./sequences/prot-0584.fa,./sequences/prot-0611.fa,244,pos,31,-1,-2
132,./sequences/prot-0586.fa,./sequences/prot-0590.fa,217,pos,32,-1,-2
133,./sequences/prot-0587.fa,./sequences/prot-0606.fa,297,pos,33,-1,-2
134,./sequences/prot-0589.fa,./sequences/prot-0591.fa,347,pos,34,-1,-2
135,./sequences/prot-0590.fa,./sequences/prot-0610.fa,188,pos,35,-1,-2
136,./sequences/prot-0592.fa,./sequences/prot-0601.fa,376,pos,36,-1,-2
137,./sequences/prot-0594.fa,./sequences/prot-0596.fa,232,pos,37,-1,-2
138,./sequences/prot-0595.fa,./sequences/prot-0620.fa,239,pos,38,-1,-2
139,./sequences/prot-0597.fa,./sequences/prot-0621.fa,177,pos,39,-1,-2
140,./sequences/prot-0600.fa,./sequences/prot-0605.fa,166,pos,40,-1,-2
141,./sequences/prot-0602.fa,./sequences/prot-0616.fa,154,pos,41,-1,-2
142,./sequences/prot-0605.fa,./sequences/prot-0615.fa,155,pos,42,-1,-2
143,./sequences/prot-0609.fa,./sequences/prot-0611.fa,289,pos,43,-1,-2
144,./sequences/prot-0614.fa,./sequences/prot-0616.fa,236,pos,44,-1,-2
145,./sequences/prot-0659.fa,./sequences/prot-0661.fa,186,pos,45,-1,-2
146,./sequences/prot-0735.fa,./sequences/prot-0736.fa,446,pos,46,-1,-2
147,./sequences/prot-0776.fa,./sequences/prot-0779.fa,352,pos,47,-1,-2
148,./sequences/prot-0829.fa,./sequences/prot-0832.fa,100,pos,48,-1,-2
149,./sequences/prot-0860.fa,./sequences/prot-0862.fa,86,pos,49,-1,-2
150,./sequences/prot-0018.fa,./sequences/prot-0198.fa,123,neg,50,-1,-2
151,./sequences/prot-0035.fa,./sequences/prot-0071.fa,97,neg,51,-1,-2
152,./sequences/prot-0056.fa,./sequences/prot-0826.fa,62,neg,52,-1,-2
153,./sequences/prot-0075.fa,./sequences/prot-0561.fa,254,neg,53,-1,-2
154,./sequences/prot-0093.fa,./sequences/prot-0091.fa,95,neg,54,-1,-2
155,./sequences/prot-0110.fa,./sequences/prot-0613.fa,132,neg,55,-1,-2
156,./sequences/prot-0131.fa,./sequences/prot-0547.fa,232,neg,56,-1,-2
157,./sequences/prot-0148.fa,./sequences/prot-0369.fa,48,neg,57,-1,-2
158,./sequences/prot-0166.fa,./sequences/prot-0839.fa,110,neg,58,-1,-2
159,./sequences/prot-0186.fa,./sequences/prot-0014.fa,61,neg,59,-1,-2
160,./sequences/prot-0206.fa,./sequences/prot-0313.fa,250,neg,60,-1,-2
161,./sequences/prot-0228.fa,./sequences/prot-0121.fa,68,neg,61,-1,-2
162,./sequences/prot-0244.fa,./sequences/prot-0817.fa,137,neg,62,-1,-2
163,./sequences/prot-0262.fa,./sequences/prot-0540.fa,259,neg,63,-1,-2
164,./sequences/prot-0286.fa,./sequences/prot-0641.fa,152,neg,64,-1,-2
165,./sequences/prot-0305.fa,./sequences/prot-0785.fa,171,neg,65,-1,-2
166,./sequences/prot-0326.fa,./sequences/prot-0712.fa,124,neg,66,-1,-2
167,./sequences/prot-0346.fa,./sequences/prot-0063.fa,86,neg,67,-1,-2
168,./sequences/prot-0363.fa,./sequences/prot-0345.fa,51,neg,68,-1,-2
169,./sequences/prot-0380.fa,./sequences/prot-0553.fa,302,neg,69,-1,-2
170,./sequences/prot-0397.fa,./sequences/prot-0470.fa,337,neg,70,-1,-2
